user_id,signup_date,country,device_type
1,2025-04-13,UK,Web
2,2025-06-29,Canada,iPhone
3,2025-04-03,Canada,iPhone
4,2025-01-15,UK,Web
5,2025-04-17,Canada,iPhone
6,2025-03-13,UK,iPhone
7,2025-01-21,USA,Web
8,2025-04-13,India,iPhone
9,2025-05-02,India,Android
10,2025-03-16,Brazil,Web
11,2025-03-29,Germany,iPhone
12,2025-04-27,Canada,iPhone
13,2025-04-10,Germany,Android
14,2025-04-14,USA,Web
15,2025-06-01,India,Web
16,2025-05-11,USA,iPhone
17,2025-05-30,USA,Android
18,2025-02-22,Canada,Android
19,2025-01-02,USA,Android
20,2025-03-29,India,Android
21,2025-06-07,Germany,Android
22,2025-02-07,India,Android
23,2025-05-10,Canada,Web
24,2025-01-21,India,iPhone
25,2025-06-10,UK,iPhone
26,2025-02-27,Germany,Android
27,2025-01-22,UK,Web
28,2025-03-30,UK,Web
29,2025-02-18,Brazil,Android
30,2025-02-28,Canada,iPhone
31,2025-06-19,USA,Android
32,2025-01-15,UK,Web
33,2025-06-24,India,Android
34,2025-02-20,USA,iPhone
35,2025-04-18,India,iPhone
36,2025-02-24,India,Web
37,2025-03-05,USA,Android
38,2025-05-11,USA,Android
39,2025-02-20,India,Web
40,2025-05-15,Canada,Android
41,2025-01-21,Germany,Web
42,2025-03-14,Brazil,Android
43,2025-06-16,Germany,iPhone
44,2025-01-18,Canada,Web
45,2025-05-12,Brazil,Android
46,2025-03-30,USA,Android
47,2025-03-01,Brazil,Android
48,2025-01-14,India,Web
49,2025-01-09,Germany,iPhone
50,2025-03-31,Brazil,Android
51,2025-02-22,India,Web
52,2025-05-10,Canada,Android
53,2025-03-25,Brazil,iPhone
54,2025-04-02,India,iPhone
55,2025-04-21,Canada,iPhone
56,2025-06-21,USA,Web
57,2025-01-08,Canada,Android
58,2025-06-24,Canada,Web
59,2025-02-04,Germany,Android
60,2025-03-22,India,Web
61,2025-06-13,Brazil,Android
62,2025-02-19,Germany,Web
63,2025-04-14,UK,Android
64,2025-05-12,Canada,Web
65,2025-01-02,UK,iPhone
66,2025-05-14,Germany,Web
67,2025-02-23,India,iPhone
